state,fy_declared,incident_type,occurred
CA,1957,Tornado,0
WV,1957,Flood,1
WV,1957,Severe Storm,0
WV,1957,Fire,0
WV,1957,Hurricane,0
WV,1957,Tornado,0
KY,1957,Flood,1
KY,1957,Severe Storm,0
KY,1957,Fire,0
KY,1957,Hurricane,0
KY,1957,Tornado,0
VA,1957,Flood,1
VA,1957,Severe Storm,0
VA,1957,Fire,0
VA,1957,Hurricane,0
VA,1957,Tornado,0
OR,1957,Flood,1
OR,1957,Severe Storm,0
OR,1957,Fire,0
OR,1957,Hurricane,0
OR,1957,Tornado,0
WA,1957,Flood,1
WA,1957,Severe Storm,0
WA,1957,Fire,0
WA,1957,Hurricane,0
WA,1957,Tornado,0
TX,1957,Flood,0
TX,1957,Severe Storm,0
TX,1957,Fire,0
TX,1957,Hurricane,1
TX,1957,Tornado,0
OK,1957,Flood,1
OK,1957,Severe Storm,0
OK,1957,Fire,0
OK,1957,Hurricane,0
OK,1957,Tornado,0
MO,1957,Flood,0
MO,1957,Severe Storm,0
MO,1957,Fire,0
MO,1957,Hurricane,0
MO,1957,Tornado,1
ID,1957,Flood,1
ID,1957,Severe Storm,0
ID,1957,Fire,0
ID,1957,Hurricane,0
ID,1957,Tornado,0
AR,1957,Flood,0
AR,1957,Severe Storm,0
AR,1957,Fire,0
AR,1957,Hurricane,0
AR,1957,Tornado,1
MN,1957,Flood,1
MN,1957,Severe Storm,0
MN,1957,Fire,0
MN,1957,Hurricane,0
MN,1957,Tornado,0
ND,1957,Flood,0
ND,1957,Severe Storm,0
ND,1957,Fire,0
ND,1957,Hurricane,0
ND,1957,Tornado,1
IL,1957,Flood,1
IL,1957,Severe Storm,0
IL,1957,Fire,0
IL,1957,Hurricane,0
IL,1957,Tornado,0
KS,1957,Flood,1
KS,1957,Severe Storm,0
KS,1957,Fire,0
KS,1957,Hurricane,0
KS,1957,Tornado,0
CA,1958,Flood,1
CA,1958,Severe Storm,0
CA,1958,Fire,0
CA,1958,Hurricane,0
CA,1958,Tornado,0
AR,1958,Flood,1
AR,1958,Severe Storm,0
AR,1958,Fire,0
AR,1958,Hurricane,0
AR,1958,Tornado,0
LA,1958,Flood,1
LA,1958,Severe Storm,0
LA,1958,Fire,0
LA,1958,Hurricane,0
LA,1958,Tornado,0
TX,1958,Flood,0
TX,1958,Severe Storm,0
TX,1958,Fire,0
TX,1958,Hurricane,0
TX,1958,Tornado,1
IA,1958,Flood,1
IA,1958,Severe Storm,0
IA,1958,Fire,0
IA,1958,Hurricane,0
IA,1958,Tornado,0
NC,1959,Flood,0
NC,1959,Severe Storm,0
NC,1959,Fire,0
NC,1959,Hurricane,1
NC,1959,Tornado,0
KS,1959,Flood,1
KS,1959,Severe Storm,0
KS,1959,Fire,0
KS,1959,Hurricane,0
KS,1959,Tornado,0
OH,1959,Flood,1
OH,1959,Severe Storm,0
OH,1959,Fire,0
OH,1959,Hurricane,0
OH,1959,Tornado,0
PA,1959,Flood,1
PA,1959,Severe Storm,0
PA,1959,Fire,0
PA,1959,Hurricane,0
PA,1959,Tornado,0
IN,1959,Flood,1
IN,1959,Severe Storm,0
IN,1959,Fire,0
IN,1959,Hurricane,0
IN,1959,Tornado,0
TX,1959,Flood,1
TX,1959,Severe Storm,0
TX,1959,Fire,0
TX,1959,Hurricane,0
TX,1959,Tornado,0
OK,1959,Flood,1
OK,1959,Severe Storm,0
OK,1959,Fire,0
OK,1959,Hurricane,0
OK,1959,Tornado,0
HI,1959,Flood,0
HI,1959,Severe Storm,0
HI,1959,Fire,0
HI,1959,Hurricane,1
HI,1959,Tornado,0
OK,1960,Flood,1
OK,1960,Severe Storm,1
OK,1960,Fire,0
OK,1960,Hurricane,0
OK,1960,Tornado,0
NE,1960,Flood,1
NE,1960,Severe Storm,0
NE,1960,Fire,0
NE,1960,Hurricane,0
NE,1960,Tornado,0
SD,1960,Flood,1
SD,1960,Severe Storm,0
SD,1960,Fire,0
SD,1960,Hurricane,0
SD,1960,Tornado,0
MO,1960,Flood,1
MO,1960,Severe Storm,0
MO,1960,Fire,0
MO,1960,Hurricane,0
MO,1960,Tornado,0
AR,1960,Flood,0
AR,1960,Severe Storm,0
AR,1960,Fire,0
AR,1960,Hurricane,0
AR,1960,Tornado,1
TX,1960,Flood,0
TX,1960,Severe Storm,1
TX,1960,Fire,0
TX,1960,Hurricane,0
TX,1960,Tornado,0
ID,1960,Flood,0
ID,1960,Severe Storm,0
ID,1960,Fire,1
ID,1960,Hurricane,0
ID,1960,Tornado,0
FL,1960,Flood,0
FL,1960,Severe Storm,0
FL,1960,Fire,0
FL,1960,Hurricane,1
FL,1960,Tornado,0
NC,1960,Flood,0
NC,1960,Severe Storm,0
NC,1960,Fire,0
NC,1960,Hurricane,1
NC,1960,Tornado,0
AL,1961,Flood,1
AL,1961,Severe Storm,0
AL,1961,Fire,0
AL,1961,Hurricane,0
AL,1961,Tornado,0
MS,1961,Flood,1
MS,1961,Severe Storm,0
MS,1961,Fire,0
MS,1961,Hurricane,0
MS,1961,Tornado,0
GA,1961,Flood,1
GA,1961,Severe Storm,0
GA,1961,Fire,0
GA,1961,Hurricane,0
GA,1961,Tornado,0
IA,1961,Flood,1
IA,1961,Severe Storm,0
IA,1961,Fire,0
IA,1961,Hurricane,0
IA,1961,Tornado,0
AR,1961,Flood,1
AR,1961,Severe Storm,0
AR,1961,Fire,0
AR,1961,Hurricane,0
AR,1961,Tornado,0
IN,1961,Flood,1
IN,1961,Severe Storm,0
IN,1961,Fire,0
IN,1961,Hurricane,0
IN,1961,Tornado,0
IL,1961,Flood,1
IL,1961,Severe Storm,0
IL,1961,Fire,0
IL,1961,Hurricane,0
IL,1961,Tornado,0
MO,1961,Flood,1
MO,1961,Severe Storm,0
MO,1961,Fire,0
MO,1961,Hurricane,0
MO,1961,Tornado,0
ID,1961,Flood,1
ID,1961,Severe Storm,0
ID,1961,Fire,0
ID,1961,Hurricane,0
ID,1961,Tornado,0
WV,1961,Flood,1
WV,1961,Severe Storm,0
WV,1961,Fire,0
WV,1961,Hurricane,0
WV,1961,Tornado,0
TX,1961,Flood,0
TX,1961,Severe Storm,0
TX,1961,Fire,0
TX,1961,Hurricane,1
TX,1961,Tornado,0
CA,1962,Flood,1
CA,1962,Severe Storm,0
CA,1962,Fire,1
CA,1962,Hurricane,0
CA,1962,Tornado,0
ID,1962,Flood,1
ID,1962,Severe Storm,0
ID,1962,Fire,0
ID,1962,Hurricane,0
ID,1962,Tornado,0
NV,1962,Flood,1
NV,1962,Severe Storm,0
NV,1962,Fire,0
NV,1962,Hurricane,0
NV,1962,Tornado,0
MD,1962,Flood,1
MD,1962,Severe Storm,0
MD,1962,Fire,0
MD,1962,Hurricane,0
MD,1962,Tornado,0
DE,1962,Flood,1
DE,1962,Severe Storm,0
DE,1962,Fire,0
DE,1962,Hurricane,0
DE,1962,Tornado,0
WV,1962,Flood,1
WV,1962,Severe Storm,0
WV,1962,Fire,0
WV,1962,Hurricane,0
WV,1962,Tornado,0
NJ,1962,Flood,1
NJ,1962,Severe Storm,0
NJ,1962,Fire,0
NJ,1962,Hurricane,0
NJ,1962,Tornado,0
VA,1962,Flood,1
VA,1962,Severe Storm,0
VA,1962,Fire,0
VA,1962,Hurricane,0
VA,1962,Tornado,0
KY,1962,Flood,1
KY,1962,Severe Storm,0
KY,1962,Fire,0
KY,1962,Hurricane,0
KY,1962,Tornado,0
NC,1962,Flood,1
NC,1962,Severe Storm,0
NC,1962,Fire,0
NC,1962,Hurricane,0
NC,1962,Tornado,0
NY,1962,Flood,1
NY,1962,Severe Storm,0
NY,1962,Fire,0
NY,1962,Hurricane,0
NY,1962,Tornado,0
NE,1962,Flood,1
NE,1962,Severe Storm,0
NE,1962,Fire,0
NE,1962,Hurricane,0
NE,1962,Tornado,0
SD,1962,Flood,1
SD,1962,Severe Storm,0
SD,1962,Fire,0
SD,1962,Hurricane,0
SD,1962,Tornado,0
IA,1962,Flood,1
IA,1962,Severe Storm,0
IA,1962,Fire,0
IA,1962,Hurricane,0
IA,1962,Tornado,0
OR,1963,Flood,1
OR,1963,Severe Storm,1
OR,1963,Fire,0
OR,1963,Hurricane,0
OR,1963,Tornado,0
WA,1963,Flood,1
WA,1963,Severe Storm,1
WA,1963,Fire,0
WA,1963,Hurricane,0
WA,1963,Tornado,0
CA,1963,Flood,1
CA,1963,Severe Storm,0
CA,1963,Fire,0
CA,1963,Hurricane,0
CA,1963,Tornado,0
FL,1963,Flood,1
FL,1963,Severe Storm,0
FL,1963,Fire,0
FL,1963,Hurricane,0
FL,1963,Tornado,0
ID,1963,Flood,1
ID,1963,Severe Storm,0
ID,1963,Fire,0
ID,1963,Hurricane,0
ID,1963,Tornado,0
NV,1963,Flood,1
NV,1963,Severe Storm,0
NV,1963,Fire,0
NV,1963,Hurricane,0
NV,1963,Tornado,0
KY,1963,Flood,1
KY,1963,Severe Storm,0
KY,1963,Fire,0
KY,1963,Hurricane,0
KY,1963,Tornado,0
WV,1963,Flood,1
WV,1963,Severe Storm,0
WV,1963,Fire,0
WV,1963,Hurricane,0
WV,1963,Tornado,0
VA,1963,Flood,1
VA,1963,Severe Storm,0
VA,1963,Fire,0
VA,1963,Hurricane,0
VA,1963,Tornado,0
GA,1963,Flood,1
GA,1963,Severe Storm,0
GA,1963,Fire,0
GA,1963,Hurricane,0
GA,1963,Tornado,0
TN,1963,Flood,1
TN,1963,Severe Storm,0
TN,1963,Fire,0
TN,1963,Hurricane,0
TN,1963,Tornado,0
HI,1963,Flood,1
HI,1963,Severe Storm,0
HI,1963,Fire,0
HI,1963,Hurricane,0
HI,1963,Tornado,0
WY,1963,Flood,1
WY,1963,Severe Storm,0
WY,1963,Fire,0
WY,1963,Hurricane,0
WY,1963,Tornado,0
NE,1963,Flood,1
NE,1963,Severe Storm,0
NE,1963,Fire,0
NE,1963,Hurricane,0
NE,1963,Tornado,0
AR,1963,Flood,1
AR,1963,Severe Storm,0
AR,1963,Fire,0
AR,1963,Hurricane,0
AR,1963,Tornado,0
NY,1963,Flood,1
NY,1963,Severe Storm,0
NY,1963,Fire,0
NY,1963,Hurricane,0
NY,1963,Tornado,0
TX,1963,Flood,0
TX,1963,Severe Storm,0
TX,1963,Fire,0
TX,1963,Hurricane,1
TX,1963,Tornado,0
VT,1964,Flood,1
VT,1964,Severe Storm,0
VT,1964,Fire,0
VT,1964,Hurricane,0
VT,1964,Tornado,0
KY,1964,Flood,1
KY,1964,Severe Storm,0
KY,1964,Fire,0
KY,1964,Hurricane,0
KY,1964,Tornado,0
IN,1964,Flood,1
IN,1964,Severe Storm,0
IN,1964,Fire,0
IN,1964,Hurricane,0
IN,1964,Tornado,0
AR,1964,Flood,1
AR,1964,Severe Storm,0
AR,1964,Fire,0
AR,1964,Hurricane,0
AR,1964,Tornado,0
WV,1964,Flood,1
WV,1964,Severe Storm,0
WV,1964,Fire,0
WV,1964,Hurricane,0
WV,1964,Tornado,0
OH,1964,Flood,1
OH,1964,Severe Storm,0
OH,1964,Fire,0
OH,1964,Hurricane,0
OH,1964,Tornado,0
MT,1964,Flood,1
MT,1964,Severe Storm,0
MT,1964,Fire,0
MT,1964,Hurricane,0
MT,1964,Tornado,0
MO,1964,Flood,1
MO,1964,Severe Storm,0
MO,1964,Fire,0
MO,1964,Hurricane,0
MO,1964,Tornado,0
NE,1964,Flood,1
NE,1964,Severe Storm,0
NE,1964,Fire,0
NE,1964,Hurricane,0
NE,1964,Tornado,0
FL,1964,Flood,0
FL,1964,Severe Storm,0
FL,1964,Fire,0
FL,1964,Hurricane,1
FL,1964,Tornado,0
GA,1964,Flood,0
GA,1964,Severe Storm,0
GA,1964,Fire,0
GA,1964,Hurricane,1
GA,1964,Tornado,0
LA,1965,Flood,0
LA,1965,Severe Storm,0
LA,1965,Fire,0
LA,1965,Hurricane,1
LA,1965,Tornado,0
NC,1965,Flood,1
NC,1965,Severe Storm,0
NC,1965,Fire,0
NC,1965,Hurricane,0
NC,1965,Tornado,0
GA,1965,Flood,1
GA,1965,Severe Storm,0
GA,1965,Fire,0
GA,1965,Hurricane,0
GA,1965,Tornado,0
OR,1965,Flood,1
OR,1965,Severe Storm,0
OR,1965,Fire,0
OR,1965,Hurricane,0
OR,1965,Tornado,0
CA,1965,Flood,1
CA,1965,Severe Storm,0
CA,1965,Fire,0
CA,1965,Hurricane,0
CA,1965,Tornado,0
WA,1965,Flood,1
WA,1965,Severe Storm,0
WA,1965,Fire,0
WA,1965,Hurricane,0
WA,1965,Tornado,0
ID,1965,Flood,1
ID,1965,Severe Storm,0
ID,1965,Fire,0
ID,1965,Hurricane,0
ID,1965,Tornado,0
NV,1965,Flood,1
NV,1965,Severe Storm,0
NV,1965,Fire,0
NV,1965,Hurricane,0
NV,1965,Tornado,0
MN,1965,Flood,1
MN,1965,Severe Storm,0
MN,1965,Fire,0
MN,1965,Hurricane,0
MN,1965,Tornado,0
OH,1965,Flood,0
OH,1965,Severe Storm,0
OH,1965,Fire,0
OH,1965,Hurricane,0
OH,1965,Tornado,1
MI,1965,Flood,0
MI,1965,Severe Storm,0
MI,1965,Fire,0
MI,1965,Hurricane,0
MI,1965,Tornado,1
IN,1965,Flood,0
IN,1965,Severe Storm,0
IN,1965,Fire,0
IN,1965,Hurricane,0
IN,1965,Tornado,1
WI,1965,Flood,0
WI,1965,Severe Storm,0
WI,1965,Fire,0
WI,1965,Hurricane,0
WI,1965,Tornado,1
IA,1965,Flood,1
IA,1965,Severe Storm,0
IA,1965,Fire,0
IA,1965,Hurricane,0
IA,1965,Tornado,0
IL,1965,Flood,0
IL,1965,Severe Storm,0
IL,1965,Fire,0
IL,1965,Hurricane,0
IL,1965,Tornado,1
ND,1965,Flood,1
ND,1965,Severe Storm,0
ND,1965,Fire,0
ND,1965,Hurricane,0
ND,1965,Tornado,0
SD,1965,Flood,1
SD,1965,Severe Storm,0
SD,1965,Fire,0
SD,1965,Hurricane,0
SD,1965,Tornado,0
MO,1965,Flood,1
MO,1965,Severe Storm,1
MO,1965,Fire,0
MO,1965,Hurricane,0
MO,1965,Tornado,0
CO,1965,Flood,0
CO,1965,Severe Storm,0
CO,1965,Fire,0
CO,1965,Hurricane,0
CO,1965,Tornado,1
TX,1965,Flood,0
TX,1965,Severe Storm,0
TX,1965,Fire,0
TX,1965,Hurricane,0
TX,1965,Tornado,1
KS,1965,Flood,1
KS,1965,Severe Storm,0
KS,1965,Fire,0
KS,1965,Hurricane,0
KS,1965,Tornado,0
NM,1965,Flood,1
NM,1965,Severe Storm,0
NM,1965,Fire,0
NM,1965,Hurricane,0
NM,1965,Tornado,0
FL,1965,Flood,0
FL,1965,Severe Storm,0
FL,1965,Fire,0
FL,1965,Hurricane,1
FL,1965,Tornado,0
MS,1965,Flood,0
MS,1965,Severe Storm,0
MS,1965,Fire,0
MS,1965,Hurricane,1
MS,1965,Tornado,0
CA,1966,Flood,1
CA,1966,Severe Storm,0
CA,1966,Fire,0
CA,1966,Hurricane,0
CA,1966,Tornado,0
GA,1966,Flood,1
GA,1966,Severe Storm,0
GA,1966,Fire,0
GA,1966,Hurricane,0
GA,1966,Tornado,0
MN,1966,Flood,1
MN,1966,Severe Storm,0
MN,1966,Fire,0
MN,1966,Hurricane,0
MN,1966,Tornado,0
ND,1966,Flood,1
ND,1966,Severe Storm,0
ND,1966,Fire,0
ND,1966,Hurricane,0
ND,1966,Tornado,0
AZ,1966,Flood,1
AZ,1966,Severe Storm,0
AZ,1966,Fire,0
AZ,1966,Hurricane,0
AZ,1966,Tornado,0
TX,1966,Flood,1
TX,1966,Severe Storm,0
TX,1966,Fire,0
TX,1966,Hurricane,0
TX,1966,Tornado,0
KS,1966,Flood,0
KS,1966,Severe Storm,0
KS,1966,Fire,0
KS,1966,Hurricane,0
KS,1966,Tornado,1
NE,1966,Flood,1
NE,1966,Severe Storm,0
NE,1966,Fire,0
NE,1966,Hurricane,0
NE,1966,Tornado,0
CA,1967,Flood,1
CA,1967,Severe Storm,0
CA,1967,Fire,0
CA,1967,Hurricane,0
CA,1967,Tornado,0
WV,1967,Flood,1
WV,1967,Severe Storm,0
WV,1967,Fire,0
WV,1967,Hurricane,0
WV,1967,Tornado,0
KY,1967,Flood,1
KY,1967,Severe Storm,0
KY,1967,Fire,0
KY,1967,Hurricane,0
KY,1967,Tornado,0
IL,1967,Flood,0
IL,1967,Severe Storm,0
IL,1967,Fire,0
IL,1967,Hurricane,0
IL,1967,Tornado,1
KS,1967,Flood,0
KS,1967,Severe Storm,0
KS,1967,Fire,0
KS,1967,Hurricane,0
KS,1967,Tornado,1
NE,1967,Flood,1
NE,1967,Severe Storm,0
NE,1967,Fire,0
NE,1967,Hurricane,0
NE,1967,Tornado,0
AK,1967,Flood,1
AK,1967,Severe Storm,0
AK,1967,Fire,0
AK,1967,Hurricane,0
AK,1967,Tornado,0
ID,1967,Flood,0
ID,1967,Severe Storm,0
ID,1967,Fire,1
ID,1967,Hurricane,0
ID,1967,Tornado,0
TX,1967,Flood,0
TX,1967,Severe Storm,0
TX,1967,Fire,0
TX,1967,Hurricane,1
TX,1967,Tornado,0
NY,1968,Flood,1
NY,1968,Severe Storm,0
NY,1968,Fire,0
NY,1968,Hurricane,0
NY,1968,Tornado,0
AR,1968,Flood,0
AR,1968,Severe Storm,0
AR,1968,Fire,0
AR,1968,Hurricane,0
AR,1968,Tornado,1
OH,1968,Flood,1
OH,1968,Severe Storm,0
OH,1968,Fire,0
OH,1968,Hurricane,0
OH,1968,Tornado,1
KY,1968,Flood,0
KY,1968,Severe Storm,0
KY,1968,Fire,0
KY,1968,Hurricane,0
KY,1968,Tornado,1
OK,1968,Flood,1
OK,1968,Severe Storm,0
OK,1968,Fire,0
OK,1968,Hurricane,0
OK,1968,Tornado,0
IA,1968,Flood,1
IA,1968,Severe Storm,0
IA,1968,Fire,0
IA,1968,Hurricane,0
IA,1968,Tornado,1
IL,1968,Flood,0
IL,1968,Severe Storm,0
IL,1968,Fire,0
IL,1968,Hurricane,0
IL,1968,Tornado,1
TX,1968,Flood,1
TX,1968,Severe Storm,0
TX,1968,Fire,0
TX,1968,Hurricane,0
TX,1968,Tornado,0
NJ,1968,Flood,1
NJ,1968,Severe Storm,0
NJ,1968,Fire,0
NJ,1968,Hurricane,0
NJ,1968,Tornado,0
IN,1968,Flood,1
IN,1968,Severe Storm,0
IN,1968,Fire,0
IN,1968,Hurricane,0
IN,1968,Tornado,0
MN,1968,Flood,1
MN,1968,Severe Storm,0
MN,1968,Fire,0
MN,1968,Hurricane,0
MN,1968,Tornado,0
HI,1968,Flood,1
HI,1968,Severe Storm,0
HI,1968,Fire,0
HI,1968,Hurricane,0
HI,1968,Tornado,0
FL,1969,Flood,0
FL,1969,Severe Storm,0
FL,1969,Fire,0
FL,1969,Hurricane,1
FL,1969,Tornado,0
CA,1969,Flood,1
CA,1969,Severe Storm,0
CA,1969,Fire,0
CA,1969,Hurricane,0
CA,1969,Tornado,0
AR,1969,Flood,1
AR,1969,Severe Storm,0
AR,1969,Fire,0
AR,1969,Hurricane,0
AR,1969,Tornado,0
SD,1969,Flood,1
SD,1969,Severe Storm,0
SD,1969,Fire,0
SD,1969,Hurricane,0
SD,1969,Tornado,0
ND,1969,Flood,1
ND,1969,Severe Storm,0
ND,1969,Fire,0
ND,1969,Hurricane,0
ND,1969,Tornado,0
MN,1969,Flood,1
MN,1969,Severe Storm,0
MN,1969,Fire,0
MN,1969,Hurricane,0
MN,1969,Tornado,0
NV,1969,Flood,1
NV,1969,Severe Storm,0
NV,1969,Fire,0
NV,1969,Hurricane,0
NV,1969,Tornado,0
IA,1969,Flood,1
IA,1969,Severe Storm,0
IA,1969,Fire,0
IA,1969,Hurricane,0
IA,1969,Tornado,0
WI,1969,Flood,1
WI,1969,Severe Storm,0
WI,1969,Fire,0
WI,1969,Hurricane,0
WI,1969,Tornado,0
CO,1969,Flood,1
CO,1969,Severe Storm,0
CO,1969,Fire,0
CO,1969,Hurricane,0
CO,1969,Tornado,0
IL,1969,Flood,1
IL,1969,Severe Storm,0
IL,1969,Fire,0
IL,1969,Hurricane,0
IL,1969,Tornado,0
TN,1969,Flood,1
TN,1969,Severe Storm,0
TN,1969,Fire,0
TN,1969,Hurricane,0
TN,1969,Tornado,0
KS,1969,Flood,0
KS,1969,Severe Storm,0
KS,1969,Fire,0
KS,1969,Hurricane,0
KS,1969,Tornado,1
OH,1969,Flood,0
OH,1969,Severe Storm,0
OH,1969,Fire,0
OH,1969,Hurricane,0
OH,1969,Tornado,1
KY,1969,Flood,1
KY,1969,Severe Storm,0
KY,1969,Fire,0
KY,1969,Hurricane,0
KY,1969,Tornado,0
MS,1969,Flood,0
MS,1969,Severe Storm,0
MS,1969,Fire,0
MS,1969,Hurricane,1
MS,1969,Tornado,0
PA,1969,Flood,1
PA,1969,Severe Storm,0
PA,1969,Fire,0
PA,1969,Hurricane,0
PA,1969,Tornado,0
LA,1969,Flood,0
LA,1969,Severe Storm,0
LA,1969,Fire,0
LA,1969,Hurricane,1
LA,1969,Tornado,0
VA,1969,Flood,0
VA,1969,Severe Storm,0
VA,1969,Fire,0
VA,1969,Hurricane,1
VA,1969,Tornado,0
NY,1969,Flood,1
NY,1969,Severe Storm,0
NY,1969,Fire,0
NY,1969,Hurricane,0
NY,1969,Tornado,0
VT,1969,Flood,1
VT,1969,Severe Storm,0
VT,1969,Fire,0
VT,1969,Hurricane,0
VT,1969,Tornado,0
WV,1969,Flood,1
WV,1969,Severe Storm,0
WV,1969,Fire,0
WV,1969,Hurricane,1
WV,1969,Tornado,0
AL,1970,Flood,0
